Layer / Couche,Field / Champ,Field Description,Description du champ
Musquash_MPA_Benthos_Infauna,OBJECTID,ArcGIS Field,Identifiant ArcGIS
Musquash_MPA_Benthos_Infauna,Shape,ArcGIS Field ,Identifiant ArcGIS
Musquash_MPA_Benthos_Infauna,set_id,Unique set identifier (yyyy.mm.station),Identificateur unique de l'ensemble (aaaa.mm.station)
Musquash_MPA_Benthos_Infauna,lat,Latitude in decimal degrees,Latitude en degrés décimaux
Musquash_MPA_Benthos_Infauna,lon,Longitude in decimal degrees,Longitude en degrés décimaux
Musquash_MPA_Benthos_Infauna,station,Order of sampling on date,Ordre d'échantillonnage à la date
Musquash_MPA_Benthos_Infauna,strata_strate,"Predefined sampling strata based on CHS map (intertidal, subtidal, channel)","Strate d'échantillonnage prédéfinie d'après la carte du SHC (intertidale, infratidale, chenal)"
Musquash_MPA_Benthos_Infauna,day_jour,Sampling day,Jour de l'échantillonnage
Musquash_MPA_Benthos_Infauna,month_mois,Sampling month,Mois de l'échantillonnage
Musquash_MPA_Benthos_Infauna,year_année,Sampling year,Année de l'échantillonnage
Musquash_MPA_Benthos_Infauna,season_saison,"Season sample taken (Summer, Autumn, Winter)","Saison à laquelle l'échantillon a été prélevé (été, automne, hiver)"
Musquash_MPA_Benthos_Infauna,scientificName_Nom_scientifique,"The full scientific name, with authorship and date information if known.  ","Le nom scientifique complet, avec les informations concernant l'auteur et la date si elles sont connues."
Musquash_MPA_Benthos_Infauna,scientificNameID_Identifiant_du_nom_scientifique,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,Un identifiant pour les détails nomenclaturaux (et non taxonomiques) d'un nom scientifique.
Musquash_MPA_Benthos_Infauna,total_count,Number of individuals observed with all replicates per station combined,Nombre d'individus observés en combinant tout les réplicats d'une sation
Musquash_MPA_Benthos_Infauna,tot_wt_g,Combined total wet weight of all grab replicates per station in grams,"Poids humide total de tous les réplicats d'échantillonnage ponctuel combinés, par station, en grammes"
Musquash_MPA_Sediment_Grain_Size,OBJECTID,ArcGIS Field,Identifiant ArcGIS
Musquash_MPA_Sediment_Grain_Size,Shape,ArcGIS Field ,Identifiant ArcGIS
Musquash_MPA_Sediment_Grain_Size,set_id,Unique set identifier (yyyy.mm.station),Identificateur unique de l'ensemble (aaaa.mm.station)
Musquash_MPA_Sediment_Grain_Size,lat,Latitude in decimal degrees,Latitude en degrés décimaux
Musquash_MPA_Sediment_Grain_Size,lon,Longitude in decimal degrees,Longitude en degrés décimaux
Musquash_MPA_Sediment_Grain_Size,day_jour,Sampling day,Jour de l'échantillonnage
Musquash_MPA_Sediment_Grain_Size,month_mois,Sampling month,Mois de l'échantillonnage
Musquash_MPA_Sediment_Grain_Size,year_année,Sampling year,Année de l'échantillonnage
Musquash_MPA_Sediment_Grain_Size,station,Order of sampling on date,Ordre d'échantillonnage à la date
Musquash_MPA_Sediment_Grain_Size,replicate_réplicat,Replicate,Réplicat
Musquash_MPA_Sediment_Grain_Size,cont_wt_g,Weight of dry clean container in grams,Poids du contenant propre et sec en grammes
Musquash_MPA_Sediment_Grain_Size,gross_wet_wt_g,Wet weight of grain size subsample and container weight in grams,Poids humide du sous-échantillon de granulométrie et poids du contenant en grammes
Musquash_MPA_Sediment_Grain_Size,gross_dry_wt_g,Dry weight of grain size subsample and container weight in grams,Poids sec du sous-échantillon de granulométrie et poids du contenant en grammes
Musquash_MPA_Sediment_Grain_Size,net_dry_wt_g,Net dry weight of grain size subsample in grams,Poids sec net du sous-échantillon de granulométrie en grammes
Musquash_MPA_Sediment_Grain_Size,sieve_wt_250um_g,Weight of 250 um sieve in grams,Poids du tamis de 250 um en grammes
Musquash_MPA_Sediment_Grain_Size,sieve_wt_125um_g,Weight of 125 um sieve in grams,Poids du tamis de 125 um en grammes
Musquash_MPA_Sediment_Grain_Size,sieve_wt_64um_g,Weight of 64 um sieve in grams,Poids du tamis de 64 um en grammes
Musquash_MPA_Sediment_Grain_Size,gross_wt_250um_g,Dry weight of 250 um sieve and sieve fraction in grams,Poids sec du tamis de 250 um et de la fraction de tamisage en grammes
Musquash_MPA_Sediment_Grain_Size,gross_wt_125um_g,Dry weight of 125 um sieve and sieve fraction in grams,Poids sec du tamis de 125 um et de la fraction de tamisage en grammes
Musquash_MPA_Sediment_Grain_Size,gross_wt_64um_g,Dry weight of 64 um sieve and sieve fraction in grams,Poids sec du tamis de 64 um et de la fraction de tamisage en grammes
Musquash_MPA_Sediment_Grain_Size,net_dry_250um_g,Net dry weight of 250 um sieve and sieve fraction in grams,Poids sec net du tamis de 250 um et de la fraction de tamisage en grammes
Musquash_MPA_Sediment_Grain_Size,net_dry_125um_g,Net dry weight of 125 um seive fraction in grams,Poids sec net du tamis de 125 um et de la fraction de tamisage en grammes
Musquash_MPA_Sediment_Grain_Size,net_dry_64um_g,Net dry weight of 64 um sieve fraction in grams,Poids sec net du tamis de 64 um et de la fraction de tamisage en grammes
Musquash_MPA_Sediment_Grain_Size,silt_frac_g,Calculation of sieve fraction less than 64 um  in grams(Gross dry wt - Net dry wt of all fractions),Calcul de la fraction de tamisage de moins de 64 um en grammes (poids sec brut - poids sec net de toutes les fractions)
Musquash_MPA_Sediment_Loss_Ignition,OBJECTID,ArcGIS Field,Identifiant ArcGIS
Musquash_MPA_Sediment_Loss_Ignition,Shape,ArcGIS Field ,Identifiant ArcGIS
Musquash_MPA_Sediment_Loss_Ignition,set_id,Unique set identifier (yyyy.mm.station),Identificateur unique de l'ensemble (aaaa.mm.station)
Musquash_MPA_Sediment_Loss_Ignition,lat,Latitude in decimal degrees,Latitude en degrés décimaux
Musquash_MPA_Sediment_Loss_Ignition,lon,Longitude in decimal degrees,Longitude en degrés décimaux
Musquash_MPA_Sediment_Loss_Ignition,day_jour,Sampling day,Jour de l'échantillonnage
Musquash_MPA_Sediment_Loss_Ignition,month_mois,Sampling month,Mois de l'échantillonnage
Musquash_MPA_Sediment_Loss_Ignition,year_année,Sampling year,Année de l'échantillonnage
Musquash_MPA_Sediment_Loss_Ignition,station,Order of sampling on date,Ordre d'échantillonnage à la date
Musquash_MPA_Sediment_Loss_Ignition,replicate_réplicat,Replicate,Réplicat
Musquash_MPA_Sediment_Loss_Ignition,cont_g,Weight of dry clean crucible,Poids du creuset propre et sec
Musquash_MPA_Sediment_Loss_Ignition,air_cont_g,Weight of air dried sediment sample with crucible in grams,Poids de l'échantillon de sédiments séché à l'air et du creuset en grammes
Musquash_MPA_Sediment_Loss_Ignition,oven_cont_g,Weight of oven dried sediment sample with crucible in grams,Poids de l'échantillon de sédiments séché au four et du creuset en grammes
Musquash_MPA_Sediment_Loss_Ignition,net_dry_wt_g,net dry weight of sediment sample in grams,Poids sec net de l'échantillon de sédiments en grammes
Musquash_MPA_Sediment_Loss_Ignition,ash_1_g,Weight of sediment after organic content was removed (cooked at 475 degrees C for 5 hours) in grams,Poids des sédiments après le retrait du contenu organique (cuit à 475 degrés celsius pendant  5 heures) en grammes
Musquash_MPA_Sediment_Loss_Ignition,ash_2_g,"Weight of sediment after being cooked again, but at a higher temperature (950 degrees C for 3 hours) in grams","Poids des sédiments après avoir été cuits une deuxième fois, mais à une température plus élevée (950 degrés celsuis pendant 3 heures) en grammes"
Musquash_MPA_Sediment_Loss_Ignition,perc_loss_ash_1_%,Percent Loss of organic matter through Ash 1 LOI phase,Pourcentage de perte de matière organique dans la phase de calcination 1 (perte au feu) 
Musquash_MPA_Sediment_Loss_Ignition,perc_loss_ash_2_%,Percent Loss of organic matter through Ash 2 LOI phase,Pourcentage de perte de matière organique dans la phase de calcination 2 (perte au feu) 
Musquash_MPA_Sediment_Loss_Ignition,tot_perc_loss_%,Percentage of organic matter loss in both Ash LOI phases combined,Pourcentage de perte de matière organique dans les deux phases de calcination combinées (perte au feu) 
Musquash_MPA_Sediment_Loss_Ignition,comments_commentaires,Comments,Commentaires
Musquash_MPA_Set_Data,OBJECTID,ArcGIS Field,Identifiant ArcGIS
Musquash_MPA_Set_Data,Shape,ArcGIS Field ,Identifiant ArcGIS
Musquash_MPA_Set_Data,set_id,Unique set identifier (yyyy.mm.station),Identificateur unique de l'ensemble (aaaa.mm.station)
Musquash_MPA_Set_Data,day_jour,Sampling day,Jour de l'échantillonnage
Musquash_MPA_Set_Data,month_mois,Sampling month,Mois de l'échantillonnage
Musquash_MPA_Set_Data,year_année,Sampling year,Année de l'échantillonnage
Musquash_MPA_Set_Data,station,Order of sampling on date,Ordre d'échantillonnage à la date
Musquash_MPA_Set_Data,lat,Latitude in decimal degrees,Latitude en degrés décimaux
Musquash_MPA_Set_Data,lon,Longitude in decimal degrees,Longitude en degrés décimaux
Musquash_MPA_Set_Data,depth_m_profondeur_m,Vessel sounder depth in meters,Profondeur du sondeur du navire en mètres
Musquash_MPA_Set_Data,time_heure,Time recorded as Universal Time Coordinated (UTC).,L’heure a été enregistrée en temps universel coordonné (UTC).
Musquash_MPA_Set_Data,strata_strate,"Predefined sampling strata based on CHS map (intertidal, subtidal, channel)","Strate d'échantillonnage prédéfinie d'après la carte du SHC (intertidale, infratidale, chenal)"
Musquash_MPA_Set_Data,season_saison,"Season sample taken (Summer, Autumn, Winter)","Saison à laquelle l'échantillon a été prélevé (été, automne, hiver)"
Musquash_MPA_Set_Data,wt_a_g,Weight of grab replicate a in grams,Poids du réplicat a de l'échantillonnage ponctuel
Musquash_MPA_Set_Data,wt_b_g,Weight of grab replicate b in grams,Poids du réplicat b de l'échantillonnage ponctuel
Musquash_MPA_Set_Data,wt_c_g,Weight of grab replicate c in grams,Poids du réplicat c de l'échantillonnage ponctuel
Musquash_MPA_Set_Data,tot_wt_g,Combined total wet weight of all grab replicates per station in grams,"Poids humide total de tous les réplicats d'échantillonnage ponctuel combinés, par station, en grammes "
Musquash_MPA_Set_Data,comments_commentaires,Comments,Commentaires
