set_id,day_jour,month_mois,year_année,station,lat,lon,depth_m_profondeur_m,time_heure,strata_strate,season_saison,wt_a_g,wt_b_g,wt_c_g,tot_wt_g,comments_commentaires
2010.02.001,18,2,2010,1,45.18628333,-66.25706667,8.1,14:05,channel,Winter,1899.8,2224.5,2282.7,6407,
2010.02.002,18,2,2010,2,45.18533333,-66.25483333,11,14:10,channel,Winter,2085.8,2113.1,1997.5,6196.4,
2010.02.003,18,2,2010,3,45.1841,-66.25236667,9.5,14:14,channel,Winter,1552.3,1783.5,971.2,4307,
2010.02.004,18,2,2010,4,45.18301667,-66.2486,3.5,14:18,channel,Winter,1914.2,1958.2,2074.9,5947.3,
2010.02.005,18,2,2010,5,45.18128333,-66.24531667,3.6,14:21,channel,Winter,2207.6,1982.8,2340.8,6531.2,
2010.02.006,18,2,2010,6,45.17888333,-66.24243333,4.4,14:23,channel,Winter,2199.2,2284.1,1934.5,6417.8,
2010.02.007,18,2,2010,7,45.17626667,-66.24101667,3.9,14:27,channel,Winter,2199.6,1754.5,2041.4,5995.5,
2010.02.008,18,2,2010,8,45.17315,-66.24018333,4.4,14:30,channel,Winter,2304.4,2215.4,2298.6,6818.4,
2010.02.009,18,2,2010,9,45.17015,-66.24038333,5,14:32,channel,Winter,1552,2224,2033,5809,
2010.02.010,18,2,2010,10,45.16558333,-66.24205,4.4,14:35,channel,Winter,1940.4,1937.2,2034.6,5912.2,
2010.02.011,18,2,2010,11,45.16111667,-66.23395,4,14:43,subtidal,Winter,951.6,630.2,186.4,1768.2,
2010.02.012,18,2,2010,12,45.15476667,-66.23531667,5,14:48,subtidal,Winter,739.3,429.4,642.5,1811.2,
2010.02.013,18,2,2010,13,45.14865,-66.23871667,9.4,14:51,subtidal,Winter,1727,2032.4,1372.8,5132.2,
2010.02.014,18,2,2010,14,45.14768333,-66.24478333,12.1,14:56,subtidal,Winter,492,892.7,483.3,1868,
2010.02.015,18,2,2010,15,45.1501,-66.25236667,6.5,15:00,subtidal,Winter,2204.9,2332.8,2195.2,6732.9,
2010.02.016,18,2,2010,16,45.15658333,-66.25671667,5.2,15:05,subtidal,Winter,639.1,733.7,434.7,1807.5,
2010.02.017,18,2,2010,17,45.16575,-66.25015,4.9,15:10,subtidal,Winter,202,450.3,536.6,1188.9,
2010.02.018,18,2,2010,18,45.16161667,-66.2447,6.5,15:14,subtidal,Winter,2211.3,1988.9,2203,6403.2,
2010.02.019,18,2,2010,19,45.15568333,-66.24491667,7.4,15:17,subtidal,Winter,222.1,261.8,676,1159.9,
2010.02.020,18,2,2010,20,45.15095,-66.24588333,10.5,15:22,subtidal,Winter,79.5,801.8,1563.2,2444.5,
2010.02.021,18,2,2010,21,45.15901667,-66.26161667,4.2,15:30,intertidal,Winter,746.8,105.1,205.6,1057.5,
2010.02.022,18,2,2010,22,45.16278333,-66.26763333,1.7,15:38,intertidal,Winter,1694.8,1606.6,1636.7,4938.1,
2010.02.023,18,2,2010,23,45.1754,-66.24703333,4.5,15:44,intertidal,Winter,1258.8,981.2,1810.7,4050.7,
2010.02.024,18,2,2010,24,45.17981667,-66.24963333,3.6,15:47,intertidal,Winter,812.6,1538.8,1163.9,3515.3,
2010.02.025,18,2,2010,25,45.17918333,-66.23893333,1.8,15:51,intertidal,Winter,1364.3,1741.9,1670.7,4776.9,
2010.02.026,18,2,2010,26,45.1739,-66.23751667,2.1,15:55,intertidal,Winter,1896,1152,1733.7,4781.7,
2010.02.027,18,2,2010,27,45.175,-66.23016667,0,16:00,intertidal,Winter,1830.2,1761.2,2010.5,5601.9,
2010.02.028,18,2,2010,28,45.16996667,-66.22865,4,16:04,intertidal,Winter,1495.9,1207.3,931.1,3634.3,
2010.02.029,18,2,2010,29,45.16553333,-66.23168333,5.2,16:08,intertidal,Winter,136.1,407.7,339.2,883,
2010.02.030,18,2,2010,30,45.16968333,-66.23608333,2.9,16:11,intertidal,Winter,1314.5,243.3,296.7,1854.5,
2010.08.001,18,8,2010,1,45.14396667,-66.26365,0,12:20,intertidal,Summer,444.8,35.4,433.8,914,
2010.08.002,18,8,2010,2,45.1416,-66.2616,8.8,12:26,subtidal,Summer,283.9,913.5,1961.7,3159.1,
2010.08.003,18,8,2010,3,45.14075,-66.26006667,10,12:31,subtidal,Summer,2124.9,189.6,114.8,2429.3,
2010.08.004,18,8,2010,4,45.15641667,-66.26276667,4.6,12:42,intertidal,Summer,467.4,1011.1,658.7,2137.2,
2010.08.005,18,8,2010,5,45.1583,-66.26281667,4.3,12:46,intertidal,Summer,205.3,266.7,100.2,572.2,
2010.08.006,18,8,2010,6,45.15391667,-66.23096667,4.3,13:01,intertidal,Summer,1284.9,1884.6,2088.8,5258.3,
2010.08.007,18,8,2010,7,45.15475,-66.23036667,4.1,13:04,intertidal,Summer,1131.9,1095.1,1941.1,4168.1,
2010.08.008,18,8,2010,8,45.16595,-66.23123333,3.7,13:13,intertidal,Summer,288,498.3,365.5,1151.8,
2010.08.009,18,8,2010,9,45.16965,-66.23213333,0,13:19,intertidal,Summer,1696.6,1614.2,1939.7,5250.5,
2010.08.010,18,8,2010,10,45.17343333,-66.24256667,0,13:27,intertidal,Summer,1978.5,1469.1,364.7,3812.3,
2010.08.011,18,8,2010,11,45.17536667,-66.24156667,5.2,13:34,channel,Summer,406.6,409.6,1844.3,2660.5,
2010.08.012,18,8,2010,12,45.17763333,-66.24225,5.1,13:40,channel,Summer,1648.5,2112.2,1922.2,5682.9,
2010.08.013,18,8,2010,13,45.17985,-66.24391667,4.8,13:45,channel,Summer,561.7,1750.2,382.7,2694.6,
2010.08.014,18,8,2010,14,45.1824,-66.24575,4.3,13:50,channel,Summer,26.4,351.2,75.1,452.7,
2010.08.015,18,8,2010,15,45.18276667,-66.24793333,3.9,13:56,channel,Summer,1509.4,1747.8,669.9,3927.1,
2010.08.016,18,8,2010,16,45.1834,-66.25015,7.1,13:59,channel,Summer,679.6,700.9,2121,3501.5,
2010.08.017,18,8,2010,17,45.18395,-66.25183333,8.7,14:03,channel,Summer,902,1559.8,524.8,2986.6,
2010.08.018,18,8,2010,18,45.18463333,-66.25366667,10.9,14:07,channel,Summer,1416,58.2,1730.9,3205.1,
2010.08.019,18,8,2010,19,45.18623333,-66.25713333,9,14:44,channel,Summer,1621.6,301.3,1038.8,2961.7,
2010.08.020,18,8,2010,20,45.18626667,-66.25815,11.1,14:50,channel,Summer,1721.9,251.4,17.2,1990.5,
2010.08.021,18,8,2010,21,45.17686667,-66.24505,1.7,15:08,intertidal,Summer,440.8,1065.5,456,1962.3,
2010.08.022,18,8,2010,22,45.17501667,-66.24611667,1.7,15:12,intertidal,Summer,93.4,84.1,91.1,268.6,
2010.08.023,18,8,2010,23,45.15778333,-66.24231667,4,15:40,subtidal,Summer,87.8,1740,1470.9,3298.7,
2010.08.024,18,8,2010,24,45.15478333,-66.24005,4.6,15:45,subtidal,Summer,533,1658.8,1831.9,4023.7,
2010.08.025,18,8,2010,25,45.15218333,-66.23926667,4.6,15:48,subtidal,Summer,1724.9,1531.6,1658.9,4915.4,
2010.08.026,18,8,2010,26,45.1494,-66.24181667,10.1,15:53,subtidal,Summer,117.2,1447.2,125.2,1689.6,
2010.08.027,18,8,2010,27,45.14875,-66.24673333,8.3,15:59,subtidal,Summer,2137,142.4,1880.3,4159.7,
2010.08.028,18,8,2010,28,45.15246667,-66.25021667,4.8,16:05,subtidal,Summer,284.4,1509.6,407.6,2201.6,
2010.08.029,18,8,2010,29,45.15716667,-66.2511,3.5,16:09,subtidal,Summer,1163.6,871.2,651.3,2686.1,
2010.08.030,18,8,2010,30,45.16128333,-66.25311667,2.3,16:16,subtidal,Summer,179.1,197,227.4,603.5,
2011.09.001,1,9,2011,1,45.14075,-66.26021667,5.9,16:17,subtidal,Summer,2120,2252.3,2122.2,6494.5,
2011.09.002,1,9,2011,2,45.14263333,-66.26183333,5,16:20,subtidal,Summer,1858.1,1892,1634.9,5385,
2011.09.003,1,9,2011,3,45.14636667,-66.24868333,8.4,16:27,subtidal,Summer,1451.3,2187.2,2062.6,5701.1,
2011.09.004,1,9,2011,4,45.14648333,-66.24608333,10.3,16:33,subtidal,Summer,1435,1154.1,1515.5,4104.6,
2011.09.005,1,9,2011,5,45.14663333,-66.24345,12,16:40,subtidal,Summer,569.6,708.1,501.9,1779.6,
2011.09.006,1,9,2011,6,45.14775,-66.23956667,15,16:45,subtidal,Summer,1442.9,1618.3,1428.6,4489.8,
2011.09.007,1,9,2011,7,45.15128333,-66.23713333,4.8,16:49,subtidal,Summer,882.7,681.8,1703.1,3267.6,
2011.09.008,1,9,2011,8,45.15526667,-66.23283333,3,16:54,subtidal,Summer,458.9,254.6,951.8,1665.3,
2011.09.009,1,9,2011,9,45.16073333,-66.24936667,4,17:00,subtidal,Summer,427.9,1483.8,750.7,2662.4,
2011.09.010,1,9,2011,10,45.16146667,-66.25561667,3.1,17:04,subtidal,Summer,363.3,334.9,466.3,1164.5,
2011.09.011,1,9,2011,11,45.16436667,-66.24298333,3.9,17:10,channel,Summer,1055.4,1306.1,1458.1,3819.6,
2011.09.012,1,9,2011,12,45.1681,-66.24123333,5.2,17:13,channel,Summer,1758,2190.5,1475.9,5424.4,
2011.09.013,1,9,2011,13,45.17196667,-66.24043333,5.2,17:19,channel,Summer,559.2,1177.7,1498,3234.9,
2011.09.014,1,9,2011,14,45.17621667,-66.24136667,4.8,17:22,channel,Summer,640.8,2740.6,1735.5,5116.9,
2011.09.015,1,9,2011,15,45.17948333,-66.24303333,4.5,17:26,channel,Summer,1044.7,652.7,2201.1,3898.5,
2011.09.016,1,9,2011,16,45.18268333,-66.248,3.5,17:29,channel,Summer,1873.6,624.5,1497.9,3996,
2011.09.017,1,9,2011,17,45.18465,-66.2544,11.6,17:35,channel,Summer,707.5,405.3,1353.8,2466.6,
2011.09.018,1,9,2011,18,45.1862,-66.25833333,13.8,17:41,channel,Summer,2492.8,205,1693.6,4391.4,
2011.09.019,1,9,2011,19,45.18993333,-66.26146667,10,17:49,channel,Summer,212.5,2195.3,372,2779.8,
2011.09.020,1,9,2011,20,45.18015,-66.24695,4,17:55,channel,Summer,240.9,602.3,746.6,1589.8,
2011.09.021,1,9,2011,21,45.17988333,-66.24995,2.5,17:58,intertidal,Summer,1492.1,375,966.7,2833.8,
2011.09.022,1,9,2011,22,45.17761667,-66.2461,4.2,18:03,intertidal,Summer,943.7,1063.5,320.3,2327.5,
2011.09.023,1,9,2011,23,45.17776667,-66.23883333,1.1,18:05,intertidal,Summer,564.9,1067,1587.7,3219.6,
2011.09.024,1,9,2011,24,45.17438333,-66.2332,1.7,18:08,intertidal,Summer,1844.7,1768.5,1841.9,5455.1,
2011.09.025,1,9,2011,25,45.16796667,-66.2282,3.6,18:13,intertidal,Summer,755.1,1440.5,935.9,3131.5,
2011.09.026,1,9,2011,26,45.16443333,-66.22783333,4.2,18:17,intertidal,Summer,1609.9,1685,1609.1,4904,
2011.09.027,1,9,2011,27,45.16175,-66.23966667,4.6,18:21,intertidal,Summer,1549,1237.3,1678.4,4464.7,
2011.09.028,1,9,2011,28,45.16221667,-66.24161667,4,18:25,intertidal,Summer,2230.9,457.9,285.4,2974.2,
2011.09.029,1,9,2011,29,45.15868333,-66.26436667,4.5,18:33,intertidal,Summer,1097.8,1104.2,334.9,2536.9,
2011.09.030,1,9,2011,30,45.16486667,-66.26916667,1.3,18:37,intertidal,Summer,704.6,579.9,649.6,1934.1,
2011.12.001,14,12,2011,1,45.14251667,-66.26186667,8.9,15:32,subtidal,Autumn,723.6,1170.9,1878.8,3773.3,
2011.12.002,14,12,2011,2,45.14146667,-66.25818333,12,15:36,subtidal,Autumn,1810.1,1971,1671,5452.1,
2011.12.003,14,12,2011,3,45.14736667,-66.25096667,9.2,15:50,subtidal,Autumn,2383.1,2502.7,2587.7,7473.5,
2011.12.004,14,12,2011,4,45.14966667,-66.2516,8.4,15:56,subtidal,Autumn,2106.8,2273.7,1870.8,6251.3,
2011.12.005,14,12,2011,5,45.14991667,-66.24603333,12.1,16:01,subtidal,Autumn,2060.6,1888.3,1909,5857.9,
2011.12.006,14,12,2011,6,45.15368333,-66.24125,10.1,16:08,subtidal,Autumn,2080.1,2174.8,1043.3,5298.2,
2011.12.007,14,12,2011,7,45.15321667,-66.23583333,7.7,16:11,subtidal,Autumn,1764.4,1647.2,634.7,4046.3,
2011.12.008,14,12,2011,8,45.15793333,-66.23271667,6.6,16:15,subtidal,Autumn,134,133.4,191.4,458.8,
2011.12.009,14,12,2011,9,45.16023333,-66.2377,7.2,16:20,subtidal,Autumn,191.5,92,88.2,371.7,
2011.12.010,14,12,2011,10,45.16376667,-66.25238333,7,16:29,subtidal,Autumn,93.7,75.1,84.2,253,
2011.12.011,14,12,2011,11,45.1589,-66.26253333,6,16:41,intertidal,Autumn,235.3,247.6,530.6,1013.5,
2011.12.012,14,12,2011,12,45.1608,-66.26583333,5.3,16:47,intertidal,Autumn,1380.4,187.5,268,1835.9,
2011.12.013,14,12,2011,13,45.16196667,-66.24191667,5.7,16:58,intertidal,Autumn,1680.5,77.1,205.6,1963.2,
2011.12.014,14,12,2011,14,45.16223333,-66.23926667,6.6,17:02,intertidal,Autumn,188.2,1569.8,168.4,1926.4,
2011.12.015,14,12,2011,15,45.1659,-66.23406667,6.3,17:09,intertidal,Autumn,65.1,770.8,888.8,1724.7,
2011.12.016,14,12,2011,16,45.16753333,-66.2265,5.8,17:13,intertidal,Autumn,725.5,511.3,1093.9,2330.7,
2011.12.017,14,12,2011,17,45.17583333,-66.24026667,5.5,17:23,intertidal,Autumn,799.7,334.4,1064.5,2198.6,
2011.12.018,14,12,2011,18,45.17918333,-66.24103333,4.8,17:25,intertidal,Autumn,210.5,1175.2,205.4,1591.1,
2011.12.019,14,12,2011,19,45.17685,-66.24598333,6.5,17:27,intertidal,Autumn,288.5,861,1511.6,2661.1,
2011.12.020,14,12,2011,20,45.17316667,-66.24535,6.7,17:33,intertidal,Autumn,301,175.2,163.5,639.7,
2011.12.021,14,12,2011,21,45.18661667,-66.25938333,7,17:42,channel,Autumn,1247.4,137.4,284.8,1669.6,
2011.12.022,14,12,2011,22,45.18543333,-66.25696667,9.7,17:48,channel,Autumn,787.2,269,1199.3,2255.5,
2011.12.023,14,12,2011,23,45.18423333,-66.2541,11.7,17:54,channel,Autumn,211.7,486.3,499,1197,
2011.12.024,14,12,2011,24,45.18125,-66.24546667,7.5,17:59,channel,Autumn,2222.8,607.9,1771.8,4602.5,
2011.12.025,14,12,2011,25,45.17781667,-66.24245,8.4,18:01,channel,Autumn,1399.5,1026,1383.4,3808.9,
2011.12.026,14,12,2011,26,45.17513333,-66.24138333,8.6,18:05,channel,Autumn,286.3,744.2,52.8,1083.3,
2011.12.027,14,12,2011,27,45.17273333,-66.2406,9.2,18:07,channel,Autumn,1875.8,1319.3,1887.3,5082.4,
2011.12.028,14,12,2011,28,45.1703,-66.24086667,9.5,18:09,channel,Autumn,1593.9,496.9,922.4,3013.2,
2011.12.029,14,12,2011,29,45.16638333,-66.24278333,7.8,18:13,channel,Autumn,130.3,126.1,586.7,843.1,
2011.12.030,14,12,2011,30,45.16475,-66.243,8.3,18:17,channel,Autumn,1937.2,131.1,1508.3,3576.6,
2012.09.001,20,9,2012,1,45.14066667,-66.2617,,,subtidal,Summer,1948.8,82.9,2307.8,4339.5,
2012.09.002,20,9,2012,2,45.1425,-66.26121667,,,subtidal,Summer,1227.9,2013.7,843.5,4085.1,
2012.09.003,20,9,2012,3,45.14506667,-66.24898333,,,subtidal,Summer,2127.9,2131.9,2195.2,6455,
2012.09.004,20,9,2012,4,45.1482,-66.24985,,,subtidal,Summer,2410.6,2412.8,2460,7283.4,
2012.09.005,20,9,2012,5,45.15035,-66.24948333,,,subtidal,Summer,2272.9,2218.5,2311.5,6802.9,
2012.09.006,20,9,2012,6,45.15235,-66.25076667,,,subtidal,Summer,2344.1,592.4,1486.7,4423.2,
2012.09.007,20,9,2012,7,45.15475,-66.25176667,,,subtidal,Summer,1418.7,1270.7,604.2,3293.6,
2012.09.008,20,9,2012,8,45.1568,-66.23981667,,,subtidal,Summer,146.2,1288.3,597.4,2031.9,
2012.09.009,20,9,2012,9,45.15425,-66.23923333,,,subtidal,Summer,197.3,2184.1,1349.2,3730.6,
2012.09.010,20,9,2012,10,45.15175,-66.2392,,,subtidal,Summer,844.3,2233.6,769.1,3847,
2012.09.011,20,9,2012,11,45.16275,-66.24456667,,,channel,Summer,1667.3,56.3,200.3,1923.9,
2012.09.012,20,9,2012,12,45.16485,-66.24356667,,,channel,Summer,1793.3,98,1542.4,3433.7,
2012.09.013,20,9,2012,13,45.16751667,-66.24195,,,channel,Summer,286.2,1876,2073.3,4235.5,
2012.09.014,20,9,2012,14,45.17108333,-66.24091667,,,channel,Summer,1399.1,2217.5,2122.9,5739.5,
2012.09.015,20,9,2012,15,45.17316667,-66.24105,,,channel,Summer,220.2,251.5,1711.8,2183.5,
2012.09.016,20,9,2012,16,45.17491667,-66.24115,,,channel,Summer,2373.3,740,92.2,3205.5,
2012.09.017,20,9,2012,17,45.1774,-66.2422,,,channel,Summer,1024.6,71.5,1532.5,2628.6,
2012.09.018,20,9,2012,18,45.18061667,-66.24435,,,channel,Summer,130,119.2,537.1,786.3,
2012.09.019,20,9,2012,19,45.18186667,-66.24871667,,,channel,Summer,52.3,1435.9,2096.7,3584.9,
2012.09.020,20,9,2012,20,45.18368333,-66.25246667,,,channel,Summer,1930.5,337.3,177.9,2445.7,
2012.09.021,20,9,2012,21,45.18345,-66.25366667,,,intertidal,Summer,345.3,83.2,204.4,632.9,
2012.09.022,20,9,2012,22,45.18145,-66.25205,,,intertidal,Summer,1796.7,1127.6,1013,3937.3,
2012.09.023,20,9,2012,23,45.17996667,-66.25066667,,,intertidal,Summer,1811.3,113.6,1860,3784.9,
2012.09.024,20,9,2012,24,45.17843333,-66.24733333,,,intertidal,Summer,268.8,99.7,515.5,884,
2012.09.025,20,9,2012,25,45.17496667,-66.24766667,,,intertidal,Summer,1942.6,742.5,588.9,3274,
2012.09.026,20,9,2012,26,45.17261667,-66.24376667,,,intertidal,Summer,258.5,338,150.8,747.3,
2012.09.027,20,9,2012,27,45.16855,-66.23823333,,,intertidal,Summer,1479.4,1395.1,1557.9,4432.4,
2012.09.028,20,9,2012,28,45.16638333,-66.23505,,,intertidal,Summer,981.6,1796.4,771.5,3549.5,
2012.09.029,20,9,2012,29,45.16525,-66.23,,,intertidal,Summer,116.9,253.2,364.1,734.2,
2012.09.030,20,9,2012,30,45.16455,-66.23131667,,,intertidal,Summer,233.5,440.9,234.3,908.7,
2014.08.001,11,8,2014,1,45.14815,-66.25416667,,,subtidal,Summer,1744,1722,594,4060,
2014.08.002,11,8,2014,2,45.1494,-66.25515,,,subtidal,Summer,683,550,160,1393,
2014.08.003,11,8,2014,3,45.15006667,-66.25733333,,,subtidal,Summer,891,581,1467,2939,
2014.08.004,11,8,2014,4,45.16815,-66.25006667,,,subtidal,Summer,487,1014,310,1811,
2014.08.005,11,8,2014,5,45.17051667,-66.24845,,,subtidal,Summer,1237,717,1623,3577,
2014.08.006,11,8,2014,6,45.17008333,-66.24563333,,,subtidal,Summer,443,804,479,1726,
2014.08.007,11,8,2014,7,45.16298333,-66.23688333,,,subtidal,Summer,176,1313,1377,2866,
2014.08.008,11,8,2014,8,45.16028333,-66.23401667,,,subtidal,Summer,431,213,27,671,
2014.08.009,11,8,2014,9,45.1584,-66.23653333,,,subtidal,Summer,69,205,279,553,
2014.08.010,11,8,2014,10,45.15853333,-66.24908333,,,subtidal,Summer,106,119,185,410,
2014.08.011,11,8,2014,11,45.16633333,-66.24208333,,,channel,Summer,1905,166,757,2828,
2014.08.012,11,8,2014,12,45.16903333,-66.2413,,,channel,Summer,363,243,655,1261,
2014.08.013,11,8,2014,13,45.17096667,-66.2413,,,channel,Summer,1288,1305,1589,4182,
2014.08.014,11,8,2014,14,45.1742,-66.24121667,,,channel,Summer,804,1235,1493,3532,
2014.08.015,11,8,2014,15,45.1784,-66.24381667,,,channel,Summer,1057,2165,,3222,
2014.08.016,11,8,2014,16,45.18006667,-66.24543333,,,channel,Summer,832,962,1168,2962,
2014.08.017,11,8,2014,17,45.18275,-66.24663333,,,channel,Summer,1077,711,1531,3319,
2014.08.018,11,8,2014,18,45.18305,-66.25091667,,,channel,Summer,334,559,710,1603,
2014.08.019,11,8,2014,19,45.18495,-66.25436667,,,channel,Summer,298,411,2125,2834,
2014.08.020,11,8,2014,20,45.186,-66.25748333,,,channel,Summer,545,95,295,935,
2014.08.021,11,8,2014,21,45.18233333,-66.25271667,,,intertidal,Summer,1905,386,180,2471,
2014.08.022,11,8,2014,22,45.18068333,-66.25113333,,,intertidal,Summer,339,357,1734,2430,
2014.08.023,11,8,2014,23,45.17841667,-66.24851667,,,intertidal,Summer,568,282,795,1645,
2014.08.024,11,8,2014,24,45.17545,-66.23778333,,,intertidal,Summer,330,1117,371,1818,
2014.08.025,11,8,2014,25,45.17206667,-66.23495,,,intertidal,Summer,176,432,1234,1842,
2014.08.026,11,8,2014,26,45.16983333,-66.23178333,,,intertidal,Summer,978,833,1107,2918,
2014.08.027,11,8,2014,27,45.16586667,-66.22843333,,,intertidal,Summer,176,286,214,676,
2014.08.028,11,8,2014,28,45.1609,-66.26056667,,,intertidal,Summer,291,472,655,1418,
2014.08.029,11,8,2014,29,45.16058333,-66.26431667,,,intertidal,Summer,239,501,301,1041,
2014.08.030,11,8,2014,30,45.15673333,-66.26231667,,,intertidal,Summer,490,121,213,824,
2014.11.001,6,11,2014,1,45.16351667,-66.26941667,4.5,,intertidal,Autumn,570,328.5,676,1574.5,
2014.11.002,6,11,2014,2,45.16195,-66.26801667,5.2,,intertidal,Autumn,398.5,1713.5,415.5,2527.5,
2014.11.003,6,11,2014,3,45.16113333,-66.26393333,6.7,,intertidal,Autumn,167,779,351,1297,
2014.11.004,6,11,2014,4,45.17465,-66.24866667,7.2,,intertidal,Autumn,368,1198,328.5,1894.5,
2014.11.005,6,11,2014,5,45.17481667,-66.24541667,7,,intertidal,Autumn,602.5,408.5,444.5,1455.5,
2014.11.006,6,11,2014,6,45.177,-66.24715,6.6,,intertidal,Autumn,1239.5,1517.5,393,3150,
2014.11.007,6,11,2014,7,45.17873333,-66.23805,4.2,,intertidal,Autumn,1761.5,1667.5,1558,4987,
2014.11.008,6,11,2014,8,45.17503333,-66.23608333,4.5,,intertidal,Autumn,1176,1070.5,777,3023.5,
2014.11.009,6,11,2014,9,45.17203333,-66.2321,5.2,,intertidal,Autumn,1877.5,1986,1892,5755.5,
2014.11.010,6,11,2014,10,45.16843333,-66.22668333,5.9,,intertidal,Autumn,1319,1150,1346,3815,
2014.11.011,6,11,2014,11,45.18408333,-66.25236667,13.5,,channel,Autumn,181.5,2184.5,1400.5,3766.5,
2014.11.012,6,11,2014,12,45.18098333,-66.24713333,6.8,,channel,Autumn,576.5,403,545.5,1525,
2014.11.013,6,11,2014,13,45.17464667,-66.2435,6.6,,channel,Autumn,315.5,1531.5,569,2416,
2014.11.014,6,11,2014,14,45.17563333,-66.24203333,6.5,,channel,Autumn,241.5,1425.5,1360.5,3027.5,
2014.11.015,6,11,2014,15,45.17375,-66.2406,6.5,,channel,Autumn,481,1625.5,453.5,2560,
2014.11.016,6,11,2014,16,45.17181667,-66.2412,6.6,,channel,Autumn,193,1461,620,2274,
2014.11.017,6,11,2014,17,45.16898333,-66.24083333,7.9,,channel,Autumn,370,1008,939,2317,
2014.11.018,6,11,2014,18,45.16783333,-66.24201667,6.6,,channel,Autumn,1763,1200.5,1428,4391.5,
2014.11.019,6,11,2014,19,45.16588333,-66.24215,6.6,,channel,Autumn,1161.5,350,264,1775.5,
2014.11.020,6,11,2014,20,45.16526667,-66.243,6.9,,channel,Autumn,1292.5,255,1111.5,2659,
2014.11.021,6,11,2014,21,45.16661667,-66.24516667,5.9,,subtidal,Autumn,247,1155.5,539.5,1942,
2014.11.022,6,11,2014,22,45.16413333,-66.24783333,6.6,,subtidal,Autumn,472.5,206.5,450,1129,
2014.11.023,6,11,2014,23,45.16063333,-66.24581667,6.7,,subtidal,Autumn,343,157,409.5,909.5,
2014.11.024,6,11,2014,24,45.15598333,-66.2475,6.6,,subtidal,Autumn,1527,1396,1980,4903,
2014.11.025,6,11,2014,25,45.15623333,-66.24236667,7,,subtidal,Autumn,1507.5,1665,1666,4838.5,
2014.11.026,6,11,2014,26,45.15333333,-66.24251667,7.1,,subtidal,Autumn,2216,1963.5,2314,6493.5,
2014.11.027,6,11,2014,27,45.15286667,-66.24693333,8.1,,subtidal,Autumn,1933,553.5,2251,4737.5,
2014.11.028,6,11,2014,28,45.15713333,-66.25226667,7,,subtidal,Autumn,154.5,654,216,1024.5,
2014.11.029,6,11,2014,29,45.15373333,-66.2558,6.6,,subtidal,Autumn,1693,1448,1916,5057,
2014.11.030,6,11,2014,30,45.14876667,-66.24763333,10.7,,subtidal,Autumn,2024,1849,1759,5632,
2015.08.001,27,8,2015,1,45.16577,-66.23009,6.1,13:42,intertidal,Summer,293,414,262,969,
2015.08.002,27,8,2015,2,45.16772,-66.22815,5.6,13:52,intertidal,Summer,1380,1220,775,3375,
